common_name,iupac_name,CAS,inchi,isomeric_SMILES,canonical_SMILES,family,Mw,interaction,source,segment,sigma,epsilon,dipole,kappa_ab,epsilon_k_ab,na,nb,expt_p_sat_T_min,expt_p_sat_T_max,expt_density_T_min,expt_density_T_max,expt_T_min_conservative,expt_T_max_conservative,expt_T_min_liberal,expt_T_max_liberal,critical_temperature_K,critical_pressure_Pa,critical_volume_m3_per_mol,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers
"2,3-dichlorobutane","2,3-dichlorobutane",7581-97-7,"InChI=1S/C4H8Cl2/c1-3(5)4(2)6/h3-4H,1-2H3",CC(Cl)C(C)Cl,CC(Cl)C(C)Cl,Chlorides,126.0,NONPOLAR,10.1021/acs.iecr.3c02255,2.94526,3.72785,282.71327,0.0,0.0,0.0,0,0,310.15,392.65,273.149994,298.149994,310.15,298.149994,273.149994,392.65,610.156755748634,4.5836057097329255e6,0.0003424109702312865,2.48,3.46,0.06,0.06,-1.0,-1.0,12,13,6,6,-1,-1
"2,2,5-trimethylhexane","2,2,5-trimethylhexane",3522-94-9,"InChI=1S/C9H20/c1-8(2)6-7-9(3,4)5/h8H,6-7H2,1-5H3",CC(C)CCC(C)(C)C,CC(C)CCC(C)(C)C,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,3.79634,3.9655,239.72328,0.0,0.0,0.0,0,0,188.449997,398.200012,288.149994,533.15,288.149994,398.200012,188.449997,533.15,574.4737657283968,2.7122932367403186e6,0.0005412822331407612,2.01,-1.0,0.3,0.28,0.32,-1.0,87,-1,30,15,15,-1
nonane,nonane,111-84-2,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",CCCCCCCCC,CCCCCCCCC,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,4.3188,3.79721,241.29275,0.0,0.0,0.0,0,0,236.83,510.929993,223.149994,510.93,236.83,510.929993,223.149994,510.93,607.0336965296772,2.8163204353302117e6,0.0005481772806649005,0.92,1.56,0.85,0.85,0.89,-1.0,420,432,1795,1784,11,-1
2-methyloctane,2-methyloctane,3221-61-2,"InChI=1S/C9H20/c1-4-5-6-7-8-9(2)3/h9H,4-8H2,1-3H3",CCCCCCC(C)C,CCCCCCC(C)C,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,4.10474,3.87073,242.55508,0.0,0.0,0.0,0,0,305.149994,581.4,283.15,373.15,305.149994,373.15,283.15,581.4,598.8487162235496,2.78155580816837e6,0.0005486787238214199,1.11,2.5,0.14,0.14,-1.0,-1.0,42,43,39,39,-1,-1
"3,3-diethylpentane","3,3-diethylpentane",1067-20-5,"InChI=1S/C9H20/c1-5-9(6-2,7-3)8-4/h5-8H2,1-4H3",CCC(CC)(CC)CC,CCC(CC)(CC)CC,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,3.24028,4.14875,277.80264,0.0,0.0,0.0,0,0,273.15,420.34,288.149994,423.15,288.149994,420.34,273.15,423.15,624.4978466792277,3.069593638396556e6,0.0005222086269929953,0.68,-1.0,0.69,0.69,-1.0,-1.0,39,-1,42,42,-1,-1
"2,4,4-trimethylhexane","2,4,4-trimethylhexane",16747-30-1,"InChI=1S/C9H20/c1-6-9(4,5)7-8(2)3/h8H,6-7H2,1-5H3",CCC(C)(C)CC(C)C,CCC(C)(C)CC(C)C,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,3.44197,4.08813,257.53965,0.0,0.0,0.0,0,0,323.8,404.79,283.149994,323.149994,323.8,323.149994,283.149994,404.79,593.5572509946413,2.853530161337914e6,0.0005331116451493815,0.08,-1.0,0.02,0.02,-1.0,-1.0,19,-1,12,12,-1,-1
"2,2,3,4-tetramethylpentane","2,2,3,4-tetramethylpentane",1186-53-4,"InChI=1S/C9H20/c1-7(2)8(3)9(4,5)6/h7-8H,1-6H3",CC(C)C(C)C(C)(C)C,CC(C)C(C)C(C)(C)C,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,3.24524,4.14986,267.96763,0.0,0.0,0.0,0,0,325.18,407.17,288.149994,298.15,325.18,298.15,288.149994,407.17,602.774227310607,2.955498491095316e6,0.0005234824814485926,0.09,-1.0,0.03,0.03,-1.0,-1.0,23,-1,7,7,-1,-1
"2,3,3,4-tetramethylpentane","2,3,3,4-tetramethylpentane",16747-38-9,"InChI=1S/C9H20/c1-7(2)9(5,6)8(3)4/h7-8H,1-6H3",CC(C)C(C)(C)C(C)C,CC(C)C(C)(C)C(C)C,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,3.23656,4.13476,274.92506,0.0,0.0,0.0,0,0,332.16,415.72,283.149994,323.149994,332.16,323.149994,283.149994,415.72,617.7321169056584,3.0711114838671647e6,0.0005163098318598156,0.11,-1.0,0.04,0.04,-1.0,-1.0,22,-1,14,14,-1,-1
"2,2,3,3-tetramethylpentane","2,2,3,3-tetramethylpentane",7154-79-2,"InChI=1S/C9H20/c1-7-9(5,6)8(2,3)4/h7H2,1-6H3",CCC(C)(C)C(C)(C)C,CCC(C)(C)C(C)(C)C,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,3.17527,4.15862,276.93581,0.0,0.0,0.0,0,0,330.98,414.45,288.149994,298.15,330.98,298.15,288.149994,414.45,617.2708551633169,3.079779508133053e6,0.0005147014436020352,0.04,-1.0,0.03,0.03,-1.0,-1.0,24,-1,8,8,-1,-1
"2,2,4,4-tetramethylpentane","2,2,4,4-tetramethylpentane",1070-87-7,"InChI=1S/C9H20/c1-8(2,3)7-9(4,5)6/h7H2,1-6H3",CC(C)(C)CC(C)(C)C,CC(C)(C)CC(C)(C)C,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,3.23856,4.1762,259.96116,0.0,0.0,0.0,0,0,316.11,425.850006,288.149994,303.149994,316.11,303.149994,288.149994,425.850006,584.2605713616892,2.8171902908324744e6,0.0005323409091488882,0.07,-1.0,0.04,0.04,-1.0,-1.0,52,-1,8,8,-1,-1
"2,3-dimethylheptane","2,3-dimethylheptane",3074-71-3,"InChI=1S/C9H20/c1-5-6-7-9(4)8(2)3/h8-9H,5-7H2,1-4H3",CCCCC(C)C(C)C,CCCCC(C)C(C)C,Alkanes,128.157,NONPOLAR,10.1021/acs.iecr.3c02255,3.81174,3.94908,250.6705,0.0,0.0,0.0,0,0,310.149994,441.149994,283.149994,313.149994,310.149994,313.149994,283.149994,441.149994,601.6534435819141,2.86308123206038e6,0.0005369645016924641,0.73,-1.0,0.11,0.11,-1.0,-1.0,36,-1,19,19,-1,-1
"1,1,1,2,2-pentafluoropropane","1,1,1,2,2-pentafluoropropane",1814-88-6,"InChI=1S/C3H3F5/c1-2(4,5)3(6,7)8/h1H3",CC(F)(F)C(F)(F)F,CC(F)(F)C(F)(F)F,Fluorides,134.015,NONPOLAR,10.1021/acs.iecr.3c02255,3.1076,3.39587,175.68124,0.0,0.0,0.0,0,0,232.25,381.65,233.149994,357.79,233.149994,357.79,232.25,381.65,388.02168946254017,3.63952889153679e6,0.00027391858528597247,0.64,-1.0,0.16,0.16,0.2,1.25,152,-1,881,854,27,119
trichlorofluoromethane,trichloro(fluoro)methane,75-69-4,"InChI=1S/CCl3F/c2-1(3,4)5",FC(Cl)(Cl)Cl,FC(Cl)(Cl)Cl,Halogenated compounds,135.905,NONPOLAR,10.1021/acs.iecr.3c02255,2.2745,3.68634,249.68309,0.0,0.0,0.0,0,0,166.479996,471.149994,162.039993,444.26001,166.479996,444.26001,162.039993,471.149994,478.83963308575034,4.879134152813288e6,0.00025384220669268635,0.55,-1.0,0.27,0.27,0.3,5.57,297,-1,808,705,103,197
"1-chloro-1,2,2,2-tetrafluoroethane","2-chloro-1,1,1,2-tetrafluoroethane",2837-89-0,"InChI=1S/C2HClF4/c3-1(4)2(5,6)7/h1H",FC(Cl)C(F)(F)F,FC(Cl)C(F)(F)F,Halogenated compounds,135.97,NONPOLAR,10.1021/acs.iecr.3c02255,3.01737,3.32343,184.87384,0.0,0.0,0.0,0,0,159.99,395.3,104.0,375.81,159.99,375.81,104.0,395.3,403.20185878367033,4.165053707305855e6,0.0002488813272489027,0.54,1.1,0.27,0.28,0.13,5.84,477,481,1671,1592,79,327
hexafluoroethane,"1,1,1,2,2,2-hexafluoroethane",76-16-4,"InChI=1S/C2F6/c3-1(4,5)2(6,7)8",FC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)F,Fluorides,137.99,NONPOLAR,10.1021/acs.iecr.3c02255,2.81452,3.31739,140.26853,0.0,0.0,0.0,0,0,173.11,292.22,172.039993,277.589996,173.11,277.589996,172.039993,292.22,296.749774063461,3.3203776988653587e6,0.00023010427089546144,0.56,-1.0,0.54,0.17,0.66,3.79,174,-1,29,7,22,123
decane,decane,124-18-5,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",CCCCCCCCCC,CCCCCCCCCC,Alkanes,142.172,NONPOLAR,10.1021/acs.iecr.3c02255,4.6267,3.84109,244.92287,0.0,0.0,0.0,0,0,243.96,588.13,243.15,583.15,243.96,583.15,243.15,588.13,631.573653571485,2.611808649789291e6,0.0006130448401776409,1.36,4.32,0.35,0.35,0.44,9.46,716,773,11903,11842,61,50
"2,7-dimethyloctane","2,7-dimethyloctane",1072-16-8,"InChI=1S/C10H22/c1-9(2)7-5-6-8-10(3)4/h9-10H,5-8H2,1-4H3",CC(C)CCCCC(C)C,CC(C)CCCCC(C)C,Alkanes,142.172,NONPOLAR,10.1021/acs.iecr.3c02255,4.309,3.93099,245.07869,0.0,0.0,0.0,0,0,270.899994,433.65,273.149994,393.15,273.149994,393.15,270.899994,433.65,616.0469070255475,2.582950463806596e6,0.000606638915300297,1.9,3.42,0.28,0.28,-1.0,-1.0,50,55,31,31,-1,-1
"2,6-dimethyloctane","2,6-dimethyloctane",2051-30-1,"InChI=1S/C10H22/c1-5-10(4)8-6-7-9(2)3/h9-10H,5-8H2,1-4H3",CCC(C)CCCC(C)C,CCC(C)CCCC(C)C,Alkanes,142.172,NONPOLAR,10.1021/acs.iecr.3c02255,4.25771,3.93753,246.48391,0.0,0.0,0.0,0,0,317.649994,432.15,284.149994,298.149994,317.649994,298.149994,284.149994,432.15,616.8659739836451,2.609475562246244e6,0.0006015747314968042,4.69,-1.0,0.4,0.4,-1.0,-1.0,10,-1,12,12,-1,-1
"2,2,5,5-tetramethylhexane","2,2,5,5-tetramethylhexane",1071-81-4,"InChI=1S/C10H22/c1-9(2,3)7-8-10(4,5)6/h7-8H2,1-6H3",CC(C)(C)CCC(C)(C)C,CC(C)(C)CCC(C)(C)C,Alkanes,142.172,NONPOLAR,10.1021/acs.iecr.3c02255,3.62094,4.16831,252.17979,0.0,0.0,0.0,0,0,318.559998,410.61,293.149994,303.149994,318.559998,303.149994,293.149994,410.61,593.1834851279917,2.542955527573391e6,0.0005970009067007076,0.92,6.19,0.07,0.07,-1.0,-1.0,6,7,8,8,-1,-1
trifluorobromomethane,bromo(trifluoro)methane,75-63-8,"InChI=1S/CBrF3/c2-1(3,4)5",FC(F)(F)Br,FC(F)(F)Br,Halogenated compounds,147.914,NONPOLAR,10.1021/acs.iecr.3c02255,2.1497,3.50014,185.06937,0.0,0.0,0.0,0,0,160.17,340.149994,107.150002,323.15,160.17,323.15,107.150002,340.149994,345.4221725279281,4.3576662976384815e6,0.00020532161458759957,0.72,1.83,0.6,0.62,0.58,4.11,198,211,149,62,87,148
"1,1,1,3,3-pentafluorobutane","1,1,1,3,3-pentafluorobutane",406-58-6,"InChI=1S/C4H5F5/c1-3(5,6)2-4(7,8)9/h2H2,1H3",CC(F)(F)CC(F)(F)F,CC(F)(F)CC(F)(F)F,Fluorides,148.031,NONPOLAR,10.1021/acs.iecr.3c02255,4.03959,3.25784,189.37775,0.0,0.0,0.0,0,0,253.15,447.89,237.49,490.02,253.15,447.89,237.49,490.02,464.75476029804975,3.687623780014328e6,0.0003213875445526401,2.13,-1.0,1.72,1.87,0.17,-1.0,171,-1,757,691,66,-1
perfluoropropylene,"1,1,2,3,3,3-hexafluoroprop-1-ene",116-15-4,"InChI=1S/C3F6/c4-1(2(5)6)3(7,8)9",FC(F)=C(F)C(F)(F)F,FC(F)=C(F)C(F)(F)F,Fluorides,149.99,NONPOLAR,10.1021/acs.iecr.3c02255,3.40869,3.22719,159.26613,0.0,0.0,0.0,0,0,232.449997,358.76,208.66,340.74,232.449997,340.74,208.66,358.76,365.61166043688365,3.6116018655877956e6,0.00025951876846999904,1.49,1.57,0.2,0.2,0.03,3.75,201,202,842,838,4,1964
tetrachloromethane,tetrachloromethane,56-23-5,"InChI=1S/CCl4/c2-1(3,4)5",ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,Chlorides,151.875,NONPOLAR,10.1021/acs.iecr.3c02255,2.32199,3.79797,292.54982,0.0,0.0,0.0,0,0,251.75,557.75,255.15,524.6,255.15,524.6,251.75,557.75,566.5897625161783,5.167554202930239e6,0.00028345631497659767,0.99,1.16,0.59,0.61,0.13,6.25,955,963,924,875,49,31
chloroperfluoroethane,"1-chloro-1,1,2,2,2-pentafluoroethane",76-15-3,"InChI=1S/C2ClF5/c3-1(4,5)2(6,7)8",FC(F)(F)C(F)(F)Cl,FC(F)(F)C(F)(F)Cl,Halogenated compounds,153.961,NONPOLAR,10.1021/acs.iecr.3c02255,2.76582,3.5012,170.66862,0.0,0.0,0.0,0,0,177.839996,353.15,194.649994,333.15,194.649994,333.15,177.839996,353.15,358.270936968645,3.4737039214751357e6,0.00026564123849432227,1.07,1.15,0.28,0.26,0.31,4.87,239,241,45,29,16,264
n-undecane,undecane,1120-21-4,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",CCCCCCCCCCC,CCCCCCCCCCC,Alkanes,156.188,NONPOLAR,10.1021/acs.iecr.3c02255,4.91136,3.82029,249.50624,0.0,0.0,0.0,0,0,254.29,470.42,240.35,473.15,254.29,470.42,240.35,473.15,656.8570513811168,2.572186473176579e6,0.0006453807927589124,1.33,2.09,4.93,4.94,0.01,-1.0,133,141,640,639,1,-1
2-methyldecane,2-methyldecane,6975-98-0,"InChI=1S/C11H24/c1-4-5-6-7-8-9-10-11(2)3/h11H,4-10H2,1-3H3",CCCCCCCCC(C)C,CCCCCCCCC(C)C,Alkanes,156.188,NONPOLAR,10.1021/acs.iecr.3c02255,4.87058,3.88386,245.87139,0.0,0.0,0.0,0,0,273.15,463.05,273.149994,373.15,273.15,373.15,273.149994,463.05,645.4434897512958,2.4294493979871534e6,0.0006717347444594379,2.36,8.18,0.5,0.5,-1.0,-1.0,41,47,28,28,-1,-1
3-methyldecane,3-methyldecane,13151-34-3,"InChI=1S/C11H24/c1-4-6-7-8-9-10-11(3)5-2/h11H,4-10H2,1-3H3",CCCCCCCC(C)CC,CCCCCCCC(C)CC,Alkanes,156.188,NONPOLAR,10.1021/acs.iecr.3c02255,4.1835,4.09797,266.95381,0.0,0.0,0.0,0,0,340.85,464.05,293.15,353.15,340.85,353.15,293.15,464.05,663.7716420177969,2.5419458961658655e6,0.0006649923501799306,2.31,-1.0,0.06,0.06,-1.0,-1.0,11,-1,4,4,-1,-1
"2,3-dimethylnonane","2,3-dimethylnonane",2884-06-2,"InChI=1S/C11H24/c1-5-6-7-8-9-11(4)10(2)3/h10-11H,5-9H2,1-4H3",CCCCCCC(C)C(C)C,CCCCCCC(C)C(C)C,Alkanes,156.188,NONPOLAR,10.1021/acs.iecr.3c02255,4.01644,4.1442,270.37498,0.0,0.0,0.0,0,0,336.85,459.95,293.149994,353.15,336.85,353.15,293.149994,459.95,662.0916473128281,2.5689852270208243e6,0.0006573559209685944,2.6,-1.0,0.08,0.08,-1.0,-1.0,15,-1,10,10,-1,-1
"perfluoro-1,3-butadiene","1,1,2,3,4,4-hexafluorobuta-1,3-diene",685-63-2,InChI=1S/C4F6/c5-1(3(7)8)2(6)4(9)10,FC(F)=C(F)C(F)=C(F)F,FC(F)=C(F)C(F)=C(F)F,Fluorides,161.99,NONPOLAR,10.1021/acs.iecr.3c02255,4.05667,3.15239,167.30802,0.0,0.0,0.0,0,0,273.15,343.15,253.149994,342.98,273.15,342.98,253.149994,343.15,411.2467212732744,3.584242992676598e6,0.00029254206683379085,1.64,-1.0,0.09,0.09,-1.0,-1.0,18,-1,81,81,-1,-1
tetrachloroethylene,"1,1,2,2-tetrachloroethene",127-18-4,InChI=1S/C2Cl4/c3-1(4)2(5)6,ClC(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)Cl,Chlorides,163.875,NONPOLAR,10.1021/acs.iecr.3c02255,2.69164,3.71137,303.51594,0.0,0.0,0.0,0,0,273.15,394.95,273.149994,323.15,273.15,323.15,273.149994,394.95,629.4223085650351,5.2729664428557595e6,0.00030761311643093465,1.05,-1.0,0.05,0.05,-1.0,-1.0,234,-1,67,67,-1,-1
bromochlorodifluoromethane,bromo-chloro-difluoromethane,353-59-3,"InChI=1S/CBrClF2/c2-1(3,4)5",FC(F)(Cl)Br,FC(F)(Cl)Br,Halogenated compounds,163.884,NONPOLAR,10.1021/acs.iecr.3c02255,2.20487,3.63702,229.87484,0.0,0.0,0.0,0,0,177.809998,373.149994,233.149994,373.149994,233.149994,373.149994,177.809998,373.149994,434.33228261954093,4.758106513002023e6,0.0002362870753316144,0.56,0.89,0.39,0.3,0.42,-1.0,71,73,10,2,8,-1
"1,2-dichlorotetrafluoroethane","1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,Halogenated compounds,169.931,NONPOLAR,10.1021/acs.iecr.3c02255,2.7784,3.64165,202.49941,0.0,0.0,0.0,0,0,202.589996,418.87,195.96,397.55,202.589996,397.55,195.96,418.87,425.95194404589733,3.652654399608945e6,0.0003003229358563464,0.83,0.85,0.34,0.38,0.29,4.34,465,466,274,170,104,242
"1,1-dichloro tetrafluoro ethane","1,1-dichloro-1,2,2,2-tetrafluoroethane",374-07-2,"InChI=1S/C2Cl2F4/c3-1(4,5)2(6,7)8",FC(F)(F)C(F)(Cl)Cl,FC(F)(F)C(F)(Cl)Cl,Halogenated compounds,169.931,NONPOLAR,10.1021/acs.iecr.3c02255,2.68124,3.68922,206.24136,0.0,0.0,0.0,0,0,276.75,422.3,228.729996,390.35,276.75,390.35,228.729996,422.3,426.950649595493,3.656476145373326e6,0.0003009310821276291,1.56,-1.0,0.56,0.97,0.43,2.98,6,-1,17,4,13,62
dodecane,dodecane,112-40-3,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",CCCCCCCCCCCC,CCCCCCCCCCCC,Alkanes,170.203,NONPOLAR,10.1021/acs.iecr.3c02255,5.49496,3.83291,244.83939,0.0,0.0,0.0,0,0,263.67,633.0,263.149994,623.15,263.67,623.15,263.149994,633.0,669.0108787550438,2.264772771575584e6,0.0007413845155946415,1.86,5.57,0.39,0.4,0.38,-1.0,397,456,1526,1493,33,-1
2-methylundecane,2-methylundecane,7045-71-8,"InChI=1S/C12H26/c1-4-5-6-7-8-9-10-11-12(2)3/h12H,4-11H2,1-3H3",CCCCCCCCCC(C)C,CCCCCCCCCC(C)C,Alkanes,170.203,NONPOLAR,10.1021/acs.iecr.3c02255,4.81946,4.01748,257.96331,0.0,0.0,0.0,0,0,356.95,483.5,293.0,353.15,356.95,353.15,293.0,483.5,674.7333392127048,2.3236273090854143e6,0.0007346178316603421,2.36,-1.0,0.03,0.03,-1.0,-1.0,19,-1,6,6,-1,-1
3-methylundecane,3-methylundecane,1002-43-3,"InChI=1S/C12H26/c1-4-6-7-8-9-10-11-12(3)5-2/h12H,4-11H2,1-3H3",CCCCCCCCC(C)CC,CCCCCCCCC(C)CC,Alkanes,170.203,NONPOLAR,10.1021/acs.iecr.3c02255,4.59616,4.07712,265.03999,0.0,0.0,0.0,0,0,357.45,484.35,283.15,373.15,357.45,373.15,283.15,484.35,681.8533860098423,2.376284864337275e6,0.00072768511324269,2.89,3.56,0.08,0.08,-1.0,-1.0,12,13,22,22,-1,-1
"2,3-dimethyldecane","2,3-dimethyldecane",17312-44-6,"InChI=1S/C12H26/c1-5-6-7-8-9-10-12(4)11(2)3/h11-12H,5-10H2,1-4H3",CCCCCCCC(C)C(C)C,CCCCCCCC(C)C(C)C,Alkanes,170.203,NONPOLAR,10.1021/acs.iecr.3c02255,4.61803,4.05824,262.03675,0.0,0.0,0.0,0,0,354.149994,479.95,293.149994,353.15,354.149994,353.15,293.149994,479.95,675.2579988647936,2.3729968672765996e6,0.0007214768539318514,2.98,-1.0,0.11,0.11,-1.0,-1.0,16,-1,8,8,-1,-1
tridecane,tridecane,629-50-5,"InChI=1S/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H3",CCCCCCCCCCCCC,CCCCCCCCCCCCC,Alkanes,184.219,NONPOLAR,10.1021/acs.iecr.3c02255,5.6357,3.82246,252.01401,0.0,0.0,0.0,0,0,283.65,533.15,263.15,492.15,283.65,492.15,263.15,533.15,694.1989268449071,2.296975846412052e6,0.0007571777774204183,2.16,4.43,6.67,6.69,0.02,-1.0,140,155,338,337,1,-1
2-methyldodecane,2-methyldodecane,1560-97-0,"InChI=1S/C13H28/c1-4-5-6-7-8-9-10-11-12-13(2)3/h13H,4-12H2,1-3H3",CCCCCCCCCCC(C)C,CCCCCCCCCCC(C)C,Alkanes,184.219,NONPOLAR,10.1021/acs.iecr.3c02255,5.383,3.96526,253.72926,0.0,0.0,0.0,0,0,373.45,502.55,293.149994,353.15,373.45,353.15,293.149994,502.55,688.7026627636175,2.1592792182455943e6,0.0008015975772636788,2.72,-1.0,0.06,0.06,-1.0,-1.0,19,-1,9,9,-1,-1
3-methyldodecane,3-methyldodecane,17312-57-1,"InChI=1S/C13H28/c1-4-6-7-8-9-10-11-12-13(3)5-2/h13H,4-12H2,1-3H3",CCCCCCCCCC(C)CC,CCCCCCCCCC(C)CC,Alkanes,184.219,NONPOLAR,10.1021/acs.iecr.3c02255,5.09082,4.03664,261.16021,0.0,0.0,0.0,0,0,372.95,503.35,293.149994,353.15,372.95,353.15,293.149994,503.35,695.934502480291,2.212817227570691e6,0.0007931831808325228,3.05,4.24,0.07,0.07,-1.0,-1.0,13,14,9,9,-1,-1
"2,3-dimethylundecane","2,3-dimethylundecane",17312-77-5,"InChI=1S/C13H28/c1-5-6-7-8-9-10-11-13(4)12(2)3/h12-13H,5-11H2,1-4H3",CCCCCCCCC(C)C(C)C,CCCCCCCCC(C)C(C)C,Alkanes,184.219,NONPOLAR,10.1021/acs.iecr.3c02255,4.88341,4.08206,264.31308,0.0,0.0,0.0,0,0,369.549988,499.45,293.149994,353.15,369.549988,353.15,293.149994,499.45,694.4811570358027,2.244401510541569e6,0.0007822483498750485,2.44,-1.0,0.3,0.3,-1.0,-1.0,11,-1,6,6,-1,-1
"1,1,2-trichloro-1,2,2-trifluoroethane","1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",FC(F)(Cl)C(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,Halogenated compounds,185.902,NONPOLAR,10.1021/acs.iecr.3c02255,2.8049,3.74996,234.58027,0.0,0.0,0.0,0,0,238.710007,483.77,238.15,461.8,238.710007,461.8,238.15,483.77,495.52084755077203,3.852554337730402e6,0.00033118096667113993,1.39,1.58,0.34,0.38,0.2,2.28,332,338,599,465,134,315
"1,1,1-trichloro-2,2,2-trifluoro ethane","1,1,1-trichloro-2,2,2-trifluoroethane",354-58-5,"InChI=1S/C2Cl3F3/c3-1(4,5)2(6,7)8",FC(F)(F)C(Cl)(Cl)Cl,FC(F)(F)C(Cl)(Cl)Cl,Halogenated compounds,185.902,NONPOLAR,10.1021/acs.iecr.3c02255,2.73686,3.77704,236.46641,0.0,0.0,0.0,0,0,288.2,383.15,293.149994,303.149994,293.149994,303.149994,288.2,383.15,494.06357088340445,3.8583366930977902e6,0.00032987750471168376,0.9,-1.0,0.12,0.12,-1.0,-1.0,40,-1,13,13,-1,-1
hexafluorobenzene,"1,2,3,4,5,6-hexafluorobenzene",392-56-3,InChI=1S/C6F6/c7-1-2(8)4(10)6(12)5(11)3(1)9,Fc1c(F)c(F)c(F)c(F)c1F,Fc1c(F)c(F)c(F)c(F)c1F,Fluorides,185.99,NONPOLAR,10.1021/acs.iecr.3c02255,3.78235,3.39118,221.62509,0.0,0.0,0.0,0,0,278.35,516.71,288.15,490.0,288.15,490.0,278.35,516.71,530.3404008850939,4.02042022278563e6,0.00033715170496676216,0.57,0.77,2.93,3.45,0.59,15.15,365,369,155,127,28,114
perfluoropropane,"1,1,1,2,2,3,3,3-octafluoropropane",76-19-7,"InChI=1S/C3F8/c4-1(5,2(6,7)8)3(9,10)11",FC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)F,Fluorides,187.987,NONPOLAR,10.1021/acs.iecr.3c02255,3.32385,3.43936,153.90597,0.0,0.0,0.0,0,0,126.150002,345.049988,203.51,326.05,203.51,326.05,126.150002,345.049988,349.6632526027827,2.933689489419988e6,0.0003057468295307175,1.71,2.15,0.6,0.6,0.55,1.58,152,153,1440,1398,42,164
bromotrichloromethane,bromo(trichloro)methane,75-62-7,"InChI=1S/CBrCl3/c2-1(3,4)5",ClC(Cl)(Cl)Br,ClC(Cl)(Cl)Br,Halogenated compounds,195.825,NONPOLAR,10.1021/acs.iecr.3c02255,2.19573,3.90927,328.03159,0.0,0.0,0.0,0,0,273.15,403.149994,233.149994,313.15,273.15,313.15,233.149994,403.149994,618.553930870891,5.480186685978236e6,0.0002922001012544419,1.75,-1.0,2.98,2.98,-1.0,-1.0,39,-1,50,50,-1,-1
"2-bromo-2-chloro-1,1,1-trifluoroethane","2-bromo-2-chloro-1,1,1-trifluoroethane",151-67-7,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H",FC(F)(F)C(Cl)Br,FC(F)(F)C(Cl)Br,Halogenated compounds,195.89,NONPOLAR,10.1021/acs.iecr.3c02255,3.07638,3.48889,227.52797,0.0,0.0,0.0,0,0,222.449997,328.5,291.149994,314.149994,291.149994,314.149994,222.449997,328.5,500.37305851522234,4.375397852523806e6,0.0002938894679976229,1.9,-1.0,0.14,0.14,-1.0,-1.0,186,-1,24,24,-1,-1
tetradecane,tetradecane,629-59-4,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",CCCCCCCCCCCCCC,CCCCCCCCCCCCCC,Alkanes,198.235,NONPOLAR,10.1021/acs.iecr.3c02255,6.01753,3.82609,252.65629,0.0,0.0,0.0,0,0,292.15,588.13,278.74,511.15,292.15,511.15,278.74,588.13,710.3267823445757,2.160816583006501e6,0.0008195473554932183,1.55,36.78,6.29,6.3,0.01,-1.0,265,291,801,800,1,-1
